type,green_percent,area,gyrate,contig,enn
Type 1,14.174145118107567,0.024382785276436277,5.136043969583936,0.21245387515110123,19.660781698856706
Type 2,79.297813999543,0.7594717800289436,35.69726732840829,0.8551376527297989,0.8510084295868046
Type 3,47.17251158419304,0.1753277936130407,16.265532706536174,0.5101631886235661,12.501611759414981
Type 4,0.31311916052396827,0.0018165219704106333,0.6324402754830685,0.028472633515744337,0.8567779869985291
