type,green_percent,area,contig,enn,fwei_change_mean,flood_share,np_flood,flood_clumpy
Type 1,0.13557192531041873,-0.13812950974402533,-0.1512227772592153,-0.023351732628030707,1.3321818478379819,1.889842959479748,-0.30330491166238516,0.5319840900300655
Type 2,1.9014673824667576,2.379987013751054,1.5132972288471302,-0.7013752939779465,0.35186402072960526,0.681903202169891,-0.0033588043354182053,0.2912706037586747
Type 3,-0.2409553051517016,-0.31975885099487744,-0.11100834579908118,0.16937599440077378,-0.03279890335223957,-0.27481746340504143,0.4005556260747059,0.3799314951430177
Type 4,-0.5433284109979866,-0.4020429588568172,-0.538531537621169,-0.1031683770689323,-1.0496762866624019,-0.8057917214585057,-1.2056911378481805,-1.9143349155162452
