"id","left","top","right","bottom","row_index","col_index","green_percent","area","gyrate","contig","enn","fwei_change_mean","flood_share","mean_dist_green"
1,303274,3800598,303374,3800498,0,0,17.7285318559557,0.0863808051354593,11.5819238203448,0.68482905982906,64.2657162255477,NA,NA,NA
2,303274,3800498,303374,3800398,1,0,21.3157894736842,0.0546628532497828,9.61624227926281,0.439439439439439,18.1845130908769,NA,NA,NA
3,303274,3800398,303374,3800298,2,0,35.1800554016621,0.114274606793785,14.3584766267146,0.734525621511923,26.0246957931215,NA,NA,NA
4,303274,3800298,303374,3800198,3,0,27.7008310249307,0.26994001604831,24.9174374975495,0.833333333333333,NA,NA,NA,NA
5,303274,3800198,303374,3800098,4,0,2.21606648199446,0.0215952012838648,6.56613567725095,0.479166666666667,NA,NA,NA,NA
6,303274,3800098,303374,3799998,5,0,0,NA,NA,NA,NA,0.00619989868075783,0.0263157894736842,109.170440673828
7,303274,3799998,303374,3799898,6,0,0,NA,NA,NA,NA,0.011792434418801,0.0332409972299169,101.845731735229
8,303274,3799898,303374,3799798,7,0,0,NA,NA,NA,NA,0.0058636441306507,0.00277008310249307,118.477348327637
9,303274,3799798,303374,3799698,8,0,5.54016620498615,0.053988003209662,9.75441114324932,0.683333333333333,NA,0.0214491831687652,0.0886426592797784,2.24520729482174
10,303274,3799698,303374,3799598,9,0,0,NA,NA,NA,NA,0.00793712066906784,0.00263157894736842,106.604286193848
11,303274,3799598,303374,3799498,10,0,0,NA,NA,NA,NA,0.00734691268169229,0,NA
12,303274,3799498,303374,3799398,11,0,0,NA,NA,NA,NA,0.00770644694213107,0.0304709141274238,129.469594782049
13,303274,3799398,303374,3799298,12,0,0,NA,NA,NA,NA,0.00287189962605566,0,NA
14,303274,3799298,303374,3799198,13,0,39.4736842105263,0.404910024072465,31.0493912680868,0.843333333333333,NA,0.0090026550652223,0.068421052631579,5.05394941109877
15,303274,3799198,303374,3799098,14,0,91.4127423822715,0.890802052959424,35.9573701931513,0.927272727272727,NA,0.0371232921969651,0.224376731301939,0
16,303274,3799098,303374,3798998,15,0,57.8947368421053,0.282087316770484,18.0683927589172,0.645996732026144,16.4298513045218,0.0321352374562052,0.213296398891967,1.35385186331613
17,303274,3798998,303374,3798898,16,0,0,NA,NA,NA,NA,0.0223165435886447,0.243767313019391,43.7070605321364
18,303274,3798898,303374,3798798,17,0,12.6315789473684,0.129571207703189,14.3376048602556,0.791666666666667,NA,-0.0488957803300429,0,NA
19,303274,3798798,303374,3798698,18,0,0,NA,NA,NA,NA,-0.0280688747221585,0.0637119113573407,42.6940749624501
20,303274,3798698,303374,3798598,19,0,0,NA,NA,NA,NA,-0.0131883308268217,0.0914127423822715,43.4738540649414
21,303274,3798598,303374,3798498,20,0,0,NA,NA,NA,NA,-0.00815804846536989,0.0166204986149584,44.4598064422607
22,303274,3798498,303374,3798398,21,0,0,NA,NA,NA,NA,-0.0389826916792356,0,NA
23,303274,3798398,303374,3798298,22,0,0,NA,NA,NA,NA,-0.014865876202959,0,NA
24,303274,3798298,303374,3798198,23,0,4.15512465373961,0.0202455012036233,8.44623921392888,0.277777777777778,15.5867256623399,-0.000795986313180007,0,NA
25,303274,3798198,303374,3798098,24,0,11.0803324099723,0.053988003209662,10.0102716698311,0.637896825396825,23.2353185658643,0.0102489585160873,0.00277008310249307,41.5646018981934
26,303274,3798098,303374,3797998,25,0,34.4736842105263,0.176810710511643,17.8120049385999,0.716858237547893,15.5867256623399,0.0152055870842703,0.0342105263157895,24.5731847469623
27,303274,3797998,303374,3797898,26,0,10.803324099723,0.0526383031294205,10.3301023115995,0.490740740740741,25.9778758441098,0.0194477113880042,0.116343490304709,26.3744256382897
28,303274,3797898,303374,3797798,27,0,44.3213296398892,0.431904025677296,29.5963911118617,0.810416666666667,NA,0.0690448430914708,0.67590027700831,13.7097904213139
29,303274,3797798,303374,3797698,28,0,27.4238227146814,0.267240615887827,24.137242455336,0.835016835016835,NA,0.0718951739424113,0.598337950138504,27.6171795262231
30,303274,3797698,303374,3797598,29,0,6.05263157894737,0.0620862036911113,9.6770843511213,0.731884057971015,NA,0.0111715070217925,0.115789473684211,41.6462894786488
31,303274,3797598,303374,3797498,30,0,54.2936288088643,0.529082431454688,33.5808069685988,0.820578231292517,NA,0.0152469136250893,0.0443213296398892,33.2635025978088
32,303274,3797498,303374,3797398,31,0,69.2520775623269,0.337425020060388,18.2759882819125,0.43574297188755,11.6176592829322,0.0126876176873137,0.0609418282548476,0
33,303274,3797398,303374,3797298,32,0,73.6842105263158,0.718040442688505,34.4767241835737,0.880952380952381,NA,0.00988905756423562,0.0858725761772853,12.7105938849911
34,303274,3797298,303374,3797198,33,0,73.9473684210526,0.758531445095752,36.0627823194466,0.870106761565836,NA,0.0187157520544325,0.0710526315789474,9.76278241475423
35,303274,3797198,303374,3797098,34,0,62.8808864265928,0.204254612143221,12.6291758153544,0.280987654320988,13.8548671861359,-0.000435813833485194,0,NA
36,303274,3797098,303374,3796998,35,0,12.1883656509695,0.0593868035306282,12.2434241986796,0.645833333333333,18.7329127343573,0.00241978779223717,0.00277008310249307,62.3469009399414
37,303274,3796998,303374,3796898,36,0,38.781163434903,0.377916022467634,27.9415117435973,0.842857142857143,NA,0.00523649054016548,0.0249307479224377,42.7191751268175
38,303274,3796898,303374,3796798,37,0,97.3684210526316,0.998778059378748,38.4191516355791,0.92027027027027,NA,0.0107240174174589,0.0210526315789474,0.649446904659271
39,303274,3796798,303374,3796698,38,0,89.4736842105263,0.871906251836042,36.1265475447903,0.920536635706914,NA,0.0208252868047954,0.00277008310249307,0
40,303274,3796698,303374,3796598,39,0,28.5318559556787,0.0926794055099198,12.0930337401665,0.336139169472503,17.7388032424607,0.0109763908886204,0.0443213296398892,4.83608111739159
41,303274,3796598,303374,3796498,40,0,58.1717451523546,0.188958011233817,14.5787899618751,0.371959646213378,22.5141590648952,-0.00141293833246216,0,NA
42,303274,3796498,303374,3796398,41,0,45.4293628808864,0.0442701626319229,10.2167957004071,0.361435548578406,10.9107078649177,0.0109747527054131,0.0221606648199446,3.24723452329636
43,303274,3796398,303374,3796298,42,0,26.5789473684211,0.136319708104397,20.9048430798859,0.587438725490196,10.3911504415599,0.00876247977082944,0,NA
44,303274,3796298,303374,3796198,43,0,0,NA,NA,NA,NA,0.0247699066044774,0,NA
45,303274,3796198,303374,3796098,44,0,25.207756232687,0.0409409024339937,8.7843165415556,0.461461131461131,14.0537323306974,0.00699158599081406,0.00277008310249307,18.7329120635986
46,303274,3796098,303374,3795998,45,0,61.4958448753463,0.299633417813624,23.3158199681839,0.824188739823415,15.5867255064659,0.00674986032180114,0.0166204986149584,8.00347248713175
47,303274,3795998,303374,3795898,46,0,41.8421052631579,0.143068208505604,13.5572496780457,0.545634920634921,21.59997330548,-0.00713008041562525,0.0973684210526316,12.5948705157718
48,303274,3795898,303374,3795798,47,0,6.09418282548476,0.0593868035306282,12.8331802699131,0.522727272727273,NA,0.0299704901042792,0.25207756232687,29.0381328404605
49,303274,3795798,303374,3795698,48,0,36.8421052631579,0.119673407114751,14.1370956384061,0.69339472563913,10.3911503722826,0.0350872851348946,0.243767313019391,3.53383167765357
50,303274,3795698,303374,3795598,49,0,41.5512465373961,0.202455012036233,25.9824118136569,0.785559328428598,57.1513274285795,0.0476768689990009,0.32409972299169,1.27226233686137
51,303274,3795598,303374,3795498,50,0,13.4210526315789,0.0458898027282127,8.93976724743264,0.480531813865147,30.0036766792077,-0.00359956619366513,0.0447368421052632,7.1679212065304
