"city","typology","n_cells","mean_green_percent","mean_area","mean_contig","mean_enn","mean_fwei_change","mean_flood_share"
"Delft","Typology 1",2408,47.1897458034621,0.175441304133528,0.510395159142951,14.6107372419687,0.018298764279484,0.307744743399196
"Delft","Typology 2",690,79.2953470633104,0.759985507246377,0.855156551421465,11.0045276258392,0.0312153869570992,0.461551296720061
"Delft","Typology 3",2242,0.313119160523968,0.0064747889628945,0.101487510878059,11.7846395512313,-0.00737638831146783,0.225199129067092
"Delft","Typology 4",4660,14.1795798509148,0.0244058075685801,0.212469123792657,19.7672396378619,-0.00121183040501961,0.130596199457872
"Xi'an","Typology 1",3971,33.2014021670965,0.16885206206855,0.654102926731013,16.4309122237283,0.0229859337231389,0.179905127324788
"Xi'an","Typology 2",1171,76.2514968147593,0.736340347192273,0.877267386038483,12.8302551212515,0.0310356206840127,0.314304756020024
"Xi'an","Typology 3",1702,0.486805485480663,0.0121396871607262,0.252828759724131,14.4480981447195,0.0179566081164155,0.0885733740870405
"Xi'an","Typology 4",3156,17.8208069578589,0.0580205118765028,0.450559913553404,29.5382719272595,0.021990220852797,0.147383115797974
