"id","left","top","right","bottom","row_index","col_index","green_percent","area","gyrate","contig","enn","fwei_change_mean","flood_share","mean_dist_green"
1,79743,451097.952,79843,450997.952,0,0,15,0.03,7.20239826516508,0.276666666666667,14.8752601924324,-0.0132482940851878,0.08,4.51451909542084
2,79743,450997.952,79843,450897.952,1,0,37,0.0411111111111111,7.95672336052334,0.343633362044215,11.7708892932576,0.0122060774183404,0.1075,3.40780648519827
3,79743,450897.952,79843,450797.952,2,0,25,0.0227272727272727,6.42576322865657,0.297118319845593,10.8057722885206,0.0225364814764544,0.1225,3.56117295245735
4,79743,450797.952,79843,450697.952,3,0,20,0.0285714285714286,6.65185122256599,0.252734427104175,10.7603536444614,-0.00453372105140062,0.005,8.09016990661621
5,79743,450697.952,79843,450597.952,4,0,12.5,0.0125,4.55184809954165,0.218409090909091,12.5366310572456,0.0062092954743639,0.055,12.8268286098133
6,79743,450597.952,79843,450497.952,5,0,16.25,0.0270833333333333,11.240455599412,0.298456790123457,18.3247536555313,0.0127040984360792,0.035,12.0250735964094
7,79743,450497.952,79843,450397.952,6,0,8.25,0.0117857142857143,3.67884589481539,0.0967908902691511,17.0455079626296,0.00684899571966525,0.0275,7.18752687627619
8,79743,450397.952,79843,450297.952,7,0,10.25,0.0205,10.3713570481942,0.187843137254902,12.9574173292382,0.00147056546918975,0.0075,1.66666666666667
9,79743,450297.952,79843,450197.952,8,0,3.5,0.0116666666666667,4.94849150549063,0.205555555555556,36.7952854970775,0.00236812719536374,0.015,31.5525849660238
10,79743,450197.952,79843,450097.952,9,0,8,0.01,4.05320873851053,0.173121843434343,15.9571440428193,-0.0120799146125955,0.005,25.962911605835
11,79743,450097.952,79843,449997.952,10,0,7.5,0.0125,4.20445361918259,0.23125,16.4508026544462,0.00790768031272591,0.0625,6.74373466491699
12,79743,449997.952,79843,449897.952,11,0,35.25,0.05875,6.37592439361821,0.209472934472934,12.2623138684324,0.0229201636928337,0.205,6.64716222809582
13,79743,449897.952,79843,449797.952,12,0,39.75,0.1325,10.5254142201444,0.264331210191083,12.67591879244,0.0168948485527562,0.14,9.44754893439157
14,79743,449797.952,79843,449697.952,13,0,27,0.0192857142857143,3.51098349039627,0.164517195767196,14.0334973695569,0.0224845976972892,0.125,0.782842712402344
15,79743,449697.952,79843,449597.952,14,0,23,0.0176923076923077,5.19608876711404,0.218413394883983,11.8818931642278,-0.0144060538485473,0.0425,0.588235294117647
