type,green_percent,area,contig,enn,fwei_change_mean,flood_share,np_flood,flood_clumpy,elevation_mean,slope_mean
Type 1,-0.5429678021895602,-0.4017038041378767,-0.5361242535963275,-0.10192145999890334,-1.0504321330413158,-0.8062888947651743,-1.2031196623237026,-1.9148461348578707,-0.24019329805708467,-0.2423558853512942
Type 2,-0.2558093537300694,-0.4100335918489542,-0.5463339679110699,0.04048920751523174,0.08807080118498728,0.1941029977086208,0.005727989375249196,0.5188442911806463,-0.9706377446943666,-0.32396726251203267
Type 3,-0.1819842680156663,-0.2104449265295972,0.25938176976452304,0.22509778767360064,0.22361288330595164,-0.14889269950982492,0.5880846409208088,0.29271431894211447,0.9907593909402482,0.23958681709726395
Type 4,1.8752001987864046,2.1723545193356153,1.3950125889925025,-0.5989728514545739,0.510993114606252,0.9542712533583841,-0.09012926137731912,0.31896713343412536,0.08180215600712305,0.490806244220534
