type,green_percent,contig,enn,fwei_change_mean,flood_share,np_flood,flood_clumpy,elevation_mean,slope_mean
Type 1,15.042502872387308,0.2808208484107995,11.061497753449636,-0.036018620900485805,3.996742223131593e-4,0.13465909090909092,0.0027228441851631004,158.52615722754427,0.31047212047628014
Type 2,17.943653991437923,0.239017079523342,13.390974489518436,0.002157933087748013,0.14176418612070446,2.479383116883117,0.8037117416163204,24.574310370263422,0.260344992149676
Type 3,54.134990595747986,0.574832751497882,8.154985650358501,0.07183418756764404,0.6312887059020319,1.9110198494182067,0.789567196179577,116.00978010408271,0.5733587050094734
Type 4,25.907660433043596,0.5280001871346955,15.752271821556052,0.022082934061569026,0.14454849002300327,3.574344417410111,0.7233248631114618,394.6862973921593,0.5718120546480286
